image,method,raw_bytes,out_bytes,encode_ms,decode_ms,encode_throughput_mbps,decode_throughput_mbps,ratio,bpp,lossless
ph_abandoned_tiled_room_1k.exr,our_v4c_pred_bitshuf_order0,6291456,2088936,199.072291,167.973833,31.60387600100508,37.45497669270903,3.011799308356024,31.8746337890625,True
ph_abandoned_tiled_room_1k.exr,our_v4d_pred_bitshuf_order1,6291456,1757958,197.720917,202.875,31.819880746355228,31.011489833641406,3.5788431805538017,26.824310302734375,True
ph_abandoned_tiled_room_1k.exr,our_v3a_rct_order1,6291456,2577430,144.834792,219.876792,43.438844445608076,28.61355190228535,2.4409803564015315,39.328460693359375,True
ph_abandoned_tiled_room_1k.exr,our_v3b_rct_bitshuf_order1,6291456,1779329,170.437875,229.458709,36.913485338866145,27.41868472728137,3.53585874225621,27.150405883789062,True
ph_abandoned_tiled_room_1k.exr,our_v3c_rct_pred_bitshuf_order1,6291456,2088283,215.347167,261.735375,29.21541103905026,24.037469142258665,3.0127410892106097,31.864669799804688,True
ph_belfast_sunset_puresky_1k.exr,exr_none,8388608,8397607,24.05125,5.506709,348.7805415518944,1523.3432527486016,0.9989283851935439,128.13731384277344,True
ph_belfast_sunset_puresky_1k.exr,exr_rle,8388608,7423169,29.228458,11.648625,287.0013874833903,720.1371835731685,1.130057526643944,113.26856994628906,True
ph_belfast_sunset_puresky_1k.exr,exr_zips,8388608,6270611,51.354459,10.097334,163.34721781413373,830.7745391011132,1.3377656499502202,95.68193054199219,True
ph_belfast_sunset_puresky_1k.exr,exr_zip,8388608,5994528,47.934917,11.444,174.9999483674917,733.0136315973435,1.3993775656732272,91.46923828125,True
ph_belfast_sunset_puresky_1k.exr,exr_piz,8388608,5310274,101.497583,26.0655,82.64835232578888,321.8280102050603,1.5796940044901637,81.02835083007812,True
ph_belfast_sunset_puresky_1k.exr,jxl_e3_ll,8388608,3537835,389.524292,129.856958,21.53551953571101,64.59883343332284,2.3711134069282487,53.98307800292969,False
ph_belfast_sunset_puresky_1k.exr,jxl_e7_ll,8388608,3079537,1055.385667,153.849416,7.948381584378671,54.524795856228664,2.723983507910442,46.99000549316406,False
ph_belfast_sunset_puresky_1k.exr,jxl_e3_nl,8388608,848047,407.717417,145.117959,20.574563779305016,57.80544363912945,9.891678173497459,12.940170288085938,False
ph_belfast_sunset_puresky_1k.exr,jxl_e7_nl,8388608,776583,1940.934458,155.369167,4.3219429514605485,53.99145893599339,10.80194647577915,11.849716186523438,False
ph_belfast_sunset_puresky_1k.exr,zstd_3,8388608,5290250,107.145625,51.414666,78.29165213231991,163.15593686828578,1.585673266858844,80.72280883789062,True
ph_belfast_sunset_puresky_1k.exr,zstd_19,8388608,5233309,3730.222583,49.051625,2.248822372753299,171.01590416219645,1.6029261792108969,79.85395812988281,True
ph_belfast_sunset_puresky_1k.exr,zstd_22,8388608,5233309,4152.798875,55.696166,2.0199889887515923,150.61374242528652,1.6029261792108969,79.85395812988281,True
ph_belfast_sunset_puresky_1k.exr,xz_9,8388608,4375924,4804.523833,439.508917,1.7459811401876335,19.086320380616986,1.9169912457346152,66.77130126953125,True
ph_belfast_sunset_puresky_1k.exr,bzip2_9,8388608,5638753,1285.612458,670.5445,6.524989663720262,12.510143622086229,1.4876707669231122,86.04054260253906,True
ph_belfast_sunset_puresky_1k.exr,lz4_9,8388608,6615643,252.370209,40.982875,33.2392956888188,204.68568883954578,1.2679958697892253,100.94670104980469,True
ph_belfast_sunset_puresky_1k.exr,zfp,8388608,5966552,54.785791,75.076625,153.11648963870942,111.73395181256481,1.4059389744696769,91.0423583984375,True
ph_belfast_sunset_puresky_1k.exr,blosc_zstd9_shuf,8388608,4408488,449.180167,8.992667,18.675374863556698,932.8276027567794,1.9028310840360687,67.2681884765625,True
ph_belfast_sunset_puresky_1k.exr,blosc_zstd9_bitshuf,8388608,3950610,467.586167,11.960792,17.9402398788243,701.342185366989,2.1233703149640184,60.281524658203125,True
ph_belfast_sunset_puresky_1k.exr,blosc_zstd9_noshuf,8388608,5126596,560.533042,7.405208,14.965412154953748,1132.798430509987,1.6362919957024116,78.22564697265625,True
ph_belfast_sunset_puresky_1k.exr,blosc_lz4hc9_shuf,8388608,5373761,61.731084,4.505084,135.8895301433553,1862.0314293806728,1.561031091632099,81.99708557128906,True
ph_belfast_sunset_puresky_1k.exr,blosc_lz4_shuf,8388608,5646921,10.673417,5.43575,785.9346261839108,1543.2291772064573,1.4855189226128718,86.16517639160156,True
ph_belfast_sunset_puresky_1k.exr,planes_zstd19,8388608,4395598,1697.591,180.587208,4.9414776586350895,46.45183949020353,1.9084110967381458,67.07150268554688,True
ph_belfast_sunset_puresky_1k.exr,our_v0_passthrough,8388608,8388629,17.94775,11.224958,467.3905085595688,747.3175400745374,0.9999974966111864,128.0003204345703,True
ph_belfast_sunset_puresky_1k.exr,our_v1a_rans_static,8388608,8388642,95.424333,104.1005,87.90847927645457,80.5818223735717,0.9999959469005829,128.00051879882812,True
ph_belfast_sunset_puresky_1k.exr,our_v1b_rans_order0,8388608,6591402,116.732042,114.920334,71.8620856474009,72.9949845081376,1.2726591398916345,100.57681274414062,True
ph_belfast_sunset_puresky_1k.exr,our_v1c_rans_order1,8388608,5884973,128.002458,282.005084,65.53474152816659,29.7463006021551,1.4254284599096716,89.79756164550781,True
